cell	product	bytes	python_sha256	r_sha256	identical
deep_inbred_60g	pairs_code	158040	329c856ff4d575eb	329c856ff4d575eb	True
deep_inbred_60g	pairs_first	158040	6c6bee91bd65a9bc	6c6bee91bd65a9bc	True
deep_inbred_60g	pairs_second	158040	f47fb1d260c422fc	f47fb1d260c422fc	True
deep_inbred_60g	inbreeding	5824	f61e1a107c5d8402	f61e1a107c5d8402	True
deep_inbred_60g	pair_kinship	117960	109d1439e1b640c1	109d1439e1b640c1	True
deep_inbred_60g	kinship_i	1057456	2685a788511b4f2e	2685a788511b4f2e	True
deep_inbred_60g	kinship_j	1057456	5d6115a12d54c160	5d6115a12d54c160	True
deep_inbred_60g	kinship_x	2114912	56101373aab14f72	56101373aab14f72	True
inbred1	pairs_code	32024	1c7077dd7a530dff	1c7077dd7a530dff	True
inbred1	pairs_first	32024	8cd2637a35257ce8	8cd2637a35257ce8	True
inbred1	pairs_second	32024	dfa0d9287e548c4c	dfa0d9287e548c4c	True
inbred1	inbreeding	3888	b004dfdd17a157e0	b004dfdd17a157e0	True
inbred1	pair_kinship	24360	10b18ebb7918fa0f	10b18ebb7918fa0f	True
inbred1	kinship_i	58520	be5de297c9cbd3d7	be5de297c9cbd3d7	True
inbred1	kinship_j	58520	700bfc6855ff9151	700bfc6855ff9151	True
inbred1	kinship_x	117040	1c5f938166bc24d2	1c5f938166bc24d2	True
inbred2	pairs_code	50724	95fc7fedcd45acee	95fc7fedcd45acee	True
inbred2	pairs_first	50724	2f16fe2f863727f1	2f16fe2f863727f1	True
inbred2	pairs_second	50724	2758d4f9bcdbbb9e	2758d4f9bcdbbb9e	True
inbred2	inbreeding	3960	294491d262ea935b	294491d262ea935b	True
inbred2	pair_kinship	30336	0dc2dff3156a120a	0dc2dff3156a120a	True
inbred2	kinship_i	102680	98ab9e187bc5ba2b	98ab9e187bc5ba2b	True
inbred2	kinship_j	102680	892695e8d7b982b0	892695e8d7b982b0	True
inbred2	kinship_x	205360	b92b927bf4ec8d7d	b92b927bf4ec8d7d	True
inbred3	pairs_code	38636	00a7d47d0d761fa1	00a7d47d0d761fa1	True
inbred3	pairs_first	38636	72925244f093bf62	72925244f093bf62	True
inbred3	pairs_second	38636	46880952cdbe2c7e	46880952cdbe2c7e	True
inbred3	inbreeding	3944	4ee4e83375ba04a6	4ee4e83375ba04a6	True
inbred3	pair_kinship	26176	6ddc86af59cc9e6b	6ddc86af59cc9e6b	True
inbred3	kinship_i	85496	01b785cb761f6bc3	01b785cb761f6bc3	True
inbred3	kinship_j	85496	e7b73a13df887db4	e7b73a13df887db4	True
inbred3	kinship_x	170992	550d0364b160b9f5	550d0364b160b9f5	True
inbred4	pairs_code	44004	4434e5fc719ba6a6	4434e5fc719ba6a6	True
inbred4	pairs_first	44004	d54e9c23fdfecaa4	d54e9c23fdfecaa4	True
inbred4	pairs_second	44004	f8c09f7082343c42	f8c09f7082343c42	True
inbred4	inbreeding	3928	d678f4d42febf9c0	d678f4d42febf9c0	True
inbred4	pair_kinship	27864	36f132c541b86434	36f132c541b86434	True
inbred4	kinship_i	88952	e584c9df3c221080	e584c9df3c221080	True
inbred4	kinship_j	88952	e83c53f745f5673f	e83c53f745f5673f	True
inbred4	kinship_x	177904	86bacd8314b9fad5	86bacd8314b9fad5	True
random_1k	pairs_code	378068	c1d8263c621d5b77	c1d8263c621d5b77	True
random_1k	pairs_first	378068	dd2dd298dfa23c43	dd2dd298dfa23c43	True
random_1k	pairs_second	378068	ea1b333b3dcc32de	ea1b333b3dcc32de	True
